Temperature (K),Internal Energy (J),Free Energy (J),Entropy (J/K)
300.0,0,-1.093083558922793e-20,3.643611859935338e-23
317.17171717171715,0,-1.1556506313190472e-20,3.6436118524121744e-23
334.34343434343435,0,-1.2182177037153014e-20,3.6436118524121744e-23
351.5151515151515,0,-1.2807847761115554e-20,3.643611859935338e-23
368.6868686868687,0,-1.3433518485078097e-20,3.6436118524121744e-23
385.85858585858585,0,-1.4059189209040638e-20,3.6436118373658467e-23
403.030303030303,0,-1.4684859933003178e-20,3.6436118524121744e-23
420.2020202020202,0,-1.531053065696572e-20,3.6436118373658467e-23
437.3737373737374,0,-1.5936201380928263e-20,3.6436118373658467e-23
454.54545454545456,0,-1.6561872104890806e-20,3.6436118524121744e-23
471.7171717171717,0,-1.7187542828853346e-20,3.6436118524121744e-23
488.8888888888889,0,-1.7813213552815888e-20,3.6436118524121744e-23
506.06060606060606,0,-1.8438884276778428e-20,3.6436118524121744e-23
523.2323232323232,0,-1.906455500074097e-20,3.6436118524121744e-23
540.4040404040404,0,-1.9690225724703514e-20,3.6436118524121744e-23
557.5757575757576,0,-2.0315896448666056e-20,3.6436118524121744e-23
574.7474747474748,0,-2.09415671726286e-20,3.6436118524121744e-23
591.9191919191919,0,-2.156723789659114e-20,3.6436118524121744e-23
609.0909090909091,0,-2.219290862055368e-20,3.6436118524121744e-23
626.2626262626263,0,-2.2818579344516224e-20,3.6436118524121744e-23
643.4343434343434,0,-2.344425006847876e-20,3.643611867458502e-23
660.6060606060606,0,-2.4069920792441304e-20,3.643611867458502e-23
677.7777777777778,0,-2.4695591516403846e-20,3.643611867458502e-23
694.9494949494949,0,-2.5321262240366386e-20,3.6436118524121744e-23
712.1212121212121,0,-2.594693296432893e-20,3.6436118524121744e-23
729.2929292929293,0,-2.657260368829147e-20,3.6436118524121744e-23
746.4646464646464,0,-2.719827441225401e-20,3.6436118524121744e-23
763.6363636363637,0,-2.7823945136216557e-20,3.6436118524121744e-23
780.8080808080808,0,-2.8449615860179097e-20,3.6436118524121744e-23
797.979797979798,0,-2.9075286584141636e-20,3.6436118524121744e-23
815.1515151515152,0,-2.970095730810418e-20,3.6436118524121744e-23
832.3232323232323,0,-3.032662803206672e-20,3.6436118524121744e-23
849.4949494949495,0,-3.095229875602926e-20,3.6436118524121744e-23
866.6666666666667,0,-3.157796947999181e-20,3.6436118524121744e-23
883.8383838383838,0,-3.220364020395434e-20,3.64361188250483e-23
901.010101010101,0,-3.2829310927916887e-20,3.6436118524121744e-23
918.1818181818182,0,-3.3454981651879426e-20,3.64361188250483e-23
935.3535353535354,0,-3.408065237584197e-20,3.6436118524121744e-23
952.5252525252525,0,-3.470632309980451e-20,3.6436118524121744e-23
969.6969696969697,0,-3.533199382376705e-20,3.6436118524121744e-23
986.868686868687,0,-3.59576645477296e-20,3.643611822319519e-23
1004.040404040404,0,-3.658333527169213e-20,3.6436118524121744e-23
1021.2121212121212,0,-3.720900599565467e-20,3.6436118524121744e-23
1038.3838383838383,0,-3.7834676719617216e-20,3.643611822319519e-23
1055.5555555555557,0,-3.846034744357977e-20,3.6436118524121744e-23
1072.7272727272727,0,-3.90860181675423e-20,3.643611822319519e-23
1089.8989898989898,0,-3.9711688891504836e-20,3.6436118524121744e-23
1107.0707070707072,0,-4.033735961546739e-20,3.643611822319519e-23
1124.2424242424242,0,-4.0963030339429927e-20,3.6436118524121744e-23
1141.4141414141413,0,-4.1588701063392467e-20,3.643611822319519e-23
1158.5858585858587,0,-4.221437178735501e-20,3.6436118524121744e-23
1175.757575757576,0,-4.284004251131756e-20,3.64361188250483e-23
1192.9292929292928,0,-4.346571323528009e-20,3.6436118524121744e-23
1210.1010101010102,0,-4.409138395924263e-20,3.643611822319519e-23
1227.2727272727275,0,-4.4717054683205183e-20,3.6436118524121744e-23
1244.4444444444446,0,-4.534272540716772e-20,3.6436118524121744e-23
1261.6161616161617,0,-4.596839613113026e-20,3.6436118524121744e-23
1278.787878787879,0,-4.65940668550928e-20,3.6436118524121744e-23
1295.959595959596,0,-4.721973757905535e-20,3.6436118524121744e-23
1313.1313131313132,0,-4.784540830301788e-20,3.6436118524121744e-23
1330.3030303030305,0,-4.8471079026980434e-20,3.6436118524121744e-23
1347.4747474747476,0,-4.909674975094297e-20,3.6436118524121744e-23
1364.6464646464647,0,-4.9722420474905513e-20,3.6436118524121744e-23
1381.818181818182,0,-5.034809119886805e-20,3.6436118524121744e-23
1398.989898989899,0,-5.09737619228306e-20,3.6436118524121744e-23
1416.1616161616162,0,-5.159943264679313e-20,3.6436118524121744e-23
1433.3333333333335,0,-5.2225103370755684e-20,3.6436118524121744e-23
1450.5050505050506,0,-5.285077409471822e-20,3.6436118524121744e-23
1467.6767676767677,0,-5.347644481868076e-20,3.64361188250483e-23
1484.848484848485,0,-5.4102115542643303e-20,3.6436118524121744e-23
1502.020202020202,0,-5.472778626660584e-20,3.6436118524121744e-23
1519.1919191919194,0,-5.535345699056839e-20,3.6436118524121744e-23
1536.3636363636365,0,-5.597912771453093e-20,3.6436118524121744e-23
1553.5353535353536,0,-5.660479843849347e-20,3.6436118524121744e-23
1570.707070707071,0,-5.723046916245601e-20,3.6436118524121744e-23
1587.878787878788,0,-5.785613988641855e-20,3.643611912597485e-23
1605.050505050505,0,-5.848181061038109e-20,3.6436118524121744e-23
1622.2222222222224,0,-5.910748133434364e-20,3.6436118524121744e-23
1639.3939393939395,0,-5.973315205830617e-20,3.6436118524121744e-23
1656.5656565656566,0,-6.035882278226871e-20,3.6436118524121744e-23
1673.737373737374,0,-6.098449350623126e-20,3.6436118524121744e-23
1690.909090909091,0,-6.16101642301938e-20,3.6436118524121744e-23
1708.080808080808,0,-6.223583495415634e-20,3.6436118524121744e-23
1725.2525252525254,0,-6.286150567811888e-20,3.6436118524121744e-23
1742.4242424242425,0,-6.348717640208142e-20,3.6436118524121744e-23
1759.5959595959598,0,-6.411284712604397e-20,3.6436118524121744e-23
1776.767676767677,0,-6.473851785000651e-20,3.6436118524121744e-23
1793.939393939394,0,-6.536418857396905e-20,3.6436118524121744e-23
1811.1111111111113,0,-6.598985929793159e-20,3.6436118524121744e-23
1828.2828282828284,0,-6.661553002189413e-20,3.6436118524121744e-23
1845.4545454545455,0,-6.724120074585667e-20,3.6436118524121744e-23
1862.6262626262628,0,-6.786687146981922e-20,3.6436118524121744e-23
1879.79797979798,0,-6.849254219378176e-20,3.6436118524121744e-23
1896.969696969697,0,-6.91182129177443e-20,3.6436118524121744e-23
1914.1414141414143,0,-6.974388364170684e-20,3.6436118524121744e-23
1931.3131313131314,0,-7.036955436566938e-20,3.6436118524121744e-23
1948.4848484848485,0,-7.099522508963192e-20,3.643611912597485e-23
