Temperature (K),Internal Energy (J),Heat Capacity (J/K)
10.0,-1.1507988597671508e-21,6.739882110149848e-23
20.0,-4.768106487521659e-22,7.529016985953623e-23
30.0,3.5500453742357386e-22,7.546854758205453e-23
40.0,1.0325603028889248e-21,6.161097139722375e-23
50.0,1.5872239653680488e-21,5.2450574932587074e-23
60.0,2.0815718015406663e-21,4.792773383420724e-23
70.0,2.5457786420521936e-21,4.5601415814905067e-23
80.0,2.9936001178387676e-21,4.429951920847349e-23
90.0,3.431769026221663e-21,4.351299356752102e-23
100.0,3.863859989189188e-21,4.3007143629338216e-23
110.0,4.291911898808428e-21,4.2664982461774686e-23
120.0,4.717159638424682e-21,4.2423874086421477e-23
130.0,5.140389380536857e-21,4.2248163895088554e-23
140.0,5.562122916326453e-21,4.21164775251959e-23
150.0,5.982718931040775e-21,4.201542716607983e-23
160.0,6.402431459648049e-21,4.193630806050848e-23
170.0,6.821445092250945e-21,4.187327560077818e-23
180.0,7.239896971663613e-21,4.182229474643296e-23
190.0,7.657890987179604e-21,4.178051114578482e-23
200.0,8.07550719457931e-21,4.174586194054107e-23
210.0,8.492808225990425e-21,4.1716827721853464e-23
220.0,8.909843749016379e-21,4.169227024552156e-23
230.0,9.326653630900856e-21,4.167132376411484e-23
240.0,9.743270224298675e-21,4.165332072216531e-23
250.0,1.0159720045344163e-20,4.163773994715344e-23
260.0,1.0576025023241744e-20,4.1624169936947297e-23
270.0,1.0992203444083109e-20,4.1612282418895155e-23
280.0,1.1408270671619647e-20,4.160181301714961e-23
290.0,1.1824239704426101e-20,4.159254696294502e-23
300.0,1.2240121610878548e-20,4.158430838159191e-23
310.0,1.2655925872057939e-20,4.157695216522203e-23
320.0,1.3071660654182988e-20,4.157035776559586e-23
330.0,1.3487333027369856e-20,4.15644243967009e-23
340.0,1.3902949142117006e-20,4.1559067278740563e-23
350.0,1.4318514372944668e-20,4.155421469905457e-23
360.0,1.4734033436098098e-20,4.1549805686468484e-23
370.0,1.5149510486674037e-20,4.154578813609613e-23
380.0,1.556494919882002e-20,4.154211731091951e-23
390.0,1.5980352832892427e-20,4.15387546460023e-23
400.0,1.6395724291740067e-20,4.1535666746933207e-23
410.0,1.6811066167831092e-20,4.153282458305765e-23
420.0,1.722638078340122e-20,4.153020282974952e-23
430.0,1.7641670224426082e-20,4.152777932190029e-23
440.0,1.8056936369839225e-20,4.1525534584471603e-23
450.0,1.8472180916115514e-20,4.152345144844168e-23
460.0,1.888740539880806e-20,4.1521514753279857e-23
470.0,1.930261121118111e-20,4.151971105579154e-23
480.0,1.971779961992389e-20,4.1518028401601065e-23
490.0,2.0132971779213133e-20,4.1516456147008907e-23
500.0,2.0548128742864068e-20,4.1514984776522124e-23
510.0,2.0963271474743575e-20,4.151360577125846e-23
520.0,2.1378400858289237e-20,4.1512311487389586e-23
530.0,2.1793517704491367e-20,4.1511095045447403e-23
540.0,2.2208622759198185e-20,4.15099502399982e-23
550.0,2.262371670929133e-20,4.1508871475777806e-23
560.0,2.303880018871374e-20,4.150785368715773e-23
570.0,2.3453873783034486e-20,4.150689227266853e-23
580.0,2.3868938034167112e-20,4.150598306055997e-23
590.0,2.4283993444245685e-20,4.150512225237249e-23
600.0,2.4699040479214562e-20,4.150430638532919e-23
610.0,2.511407957195227e-20,4.150353230120828e-23
620.0,2.5529111125238727e-20,4.1502797102014237e-23
630.0,2.5944135513992553e-20,4.1502098144280616e-23
640.0,2.635915308812434e-20,4.150143301140559e-23
650.0,2.6774164174220665e-20,4.150079946171519e-23
660.0,2.7189169077358644e-20,4.1500195446691774e-23
670.0,2.76041680831545e-20,4.1499619086048134e-23
680.0,2.8019161459079606e-20,4.149906863367313e-23
690.0,2.8434149455827963e-20,4.1498542485585504e-23
700.0,2.8849132308791316e-20,4.1498039154820487e-23
710.0,2.9264110238924373e-20,4.1497557268835216e-23
720.0,2.967908345416802e-20,4.149709555354367e-23
730.0,3.0094052149995247e-20,4.149665283204799e-23
740.0,3.050901651080898e-20,4.1496228007590036e-23
750.0,3.092397671014705e-20,4.149582005358296e-23
760.0,3.133893291188064e-20,4.1495428031407946e-23
770.0,3.1753885270775206e-20,4.149505106071188e-23
780.0,3.216883393309488e-20,4.1494688310168613e-23
790.0,3.258377903697858e-20,4.1494339016822797e-23
800.0,3.299872071343133e-20,4.149400246668616e-23
810.0,3.34136590863123e-20,4.149367798947129e-23
820.0,3.382859427322076e-20,4.1493364958250673e-23
830.0,3.4243526385477315e-20,4.149306277748765e-23
840.0,3.465845552877051e-20,4.1492770913469414e-23
850.0,3.5073381803746703e-20,4.1492488845138026e-23
860.0,3.548830530567327e-20,4.149221608506891e-23
870.0,3.590322612544808e-20,4.1491952182865295e-23
880.0,3.631814434933058e-20,4.149169670522092e-23
890.0,3.67330600595525e-20,4.1491449259579806e-23
900.0,3.7147973334522174e-20,4.149120946663156e-23
910.0,3.756288424888513e-20,4.1490976967086127e-23
920.0,3.7977792873863897e-20,4.149075142648199e-23
930.0,3.839269927741477e-20,4.1490532530097533e-23
940.0,3.880760352446585e-20,4.1490319975353805e-23
950.0,3.922250567692185e-20,4.149011348788704e-23
960.0,3.963740579422359e-20,4.14899127944776e-23
970.0,4.00523039328114e-20,4.148971764671392e-23
980.0,4.0467200147157867e-20,4.1489527812228336e-23
990.0,4.0882094489055966e-20,4.148934304623486e-23
1000.0,4.1296987008082564e-20,4.1489251902659805e-23
