Temperature (K),Partition Function
10,2.70E+236
20,9.78E+234
30,8.56E+234
40,1.29E+235
50,2.06E+235
60,3.20E+235
70,4.76E+235
80,6.80E+235
90,9.38E+235
100,1.26E+236
110,1.64E+236
120,2.10E+236
130,2.65E+236
140,3.27E+236
150,3.99E+236
160,4.81E+236
170,5.74E+236
180,6.78E+236
190,7.93E+236
200,9.22E+236
210,1.06E+237
220,1.22E+237
230,1.39E+237
240,1.57E+237
250,1.77E+237
260,1.99E+237
270,2.23E+237
280,2.48E+237
290,2.75E+237
300,3.04E+237
310,3.35E+237
320,3.68E+237
330,4.03E+237
340,4.40E+237
350,4.79E+237
360,5.21E+237
370,5.65E+237
380,6.12E+237
390,6.61E+237
400,7.12E+237
410,7.67E+237
420,8.23E+237
430,8.83E+237
440,9.46E+237
450,1.01E+238
460,1.08E+238
470,1.15E+238
480,1.22E+238
490,1.30E+238
500,1.38E+238
510,1.47E+238
520,1.55E+238
530,1.65E+238
540,1.74E+238
550,1.84E+238
560,1.94E+238
570,2.04E+238
580,2.15E+238
590,2.26E+238
600,2.38E+238
610,2.50E+238
620,2.63E+238
630,2.75E+238
640,2.89E+238
650,3.02E+238
660,3.16E+238
670,3.31E+238
680,3.46E+238
690,3.61E+238
700,3.77E+238
710,3.93E+238
720,4.10E+238
730,4.27E+238
740,4.45E+238
750,4.63E+238
760,4.82E+238
770,5.01E+238
780,5.21E+238
790,5.41E+238
800,5.62E+238
810,5.83E+238
820,6.05E+238
830,6.27E+238
840,6.50E+238
850,6.74E+238
860,6.97E+238
870,7.22E+238
880,7.47E+238
890,7.73E+238
900,7.99E+238
910,8.26E+238
920,8.53E+238
930,8.81E+238
940,9.10E+238
950,9.39E+238
960,9.69E+238
970,1.00E+239
980,1.03E+239
990,1.06E+239
1000,1.09E+239
