Temperature (K),Internal Energy U (J),Heat Capacity Cv (J/K)
10.0,1.375121980619527e-22,6.878441376598133e-21
20.0,6.892192596404329e-20,1.3240437964831163e-22
30.0,2.7855997910281855e-21,-3.377567818543921e-21
40.0,1.3705695931648655e-21,-8.906676859007764e-23
50.0,1.0042644192266325e-21,-2.681026083177352e-23
60.0,8.343643765293951e-22,-1.348489927322151e-23
70.0,7.345664337622023e-22,-8.307928814362068e-24
80.0,6.682058002421537e-22,-5.701606493250026e-24
90.0,6.205343038972018e-22,-4.190462747105338e-24
100.0,5.84396545300047e-22,-3.2327987605499444e-24
110.0,5.558783286862029e-22,-2.58721514885526e-24
120.0,5.326522423229418e-22,-2.131597910188867e-24
130.0,5.132463704824256e-22,-1.798394838788881e-24
140.0,4.966843455471642e-22,-1.5476534923279262e-24
150.0,4.822933006358671e-22,-1.354479603335932e-24
160.0,4.695947534804455e-22,-1.2026954771649833e-24
170.0,4.582393910925674e-22,-1.081416141610208e-24
180.0,4.479664306482414e-22,-9.831000788533313e-25
190.0,4.385773895155008e-22,-9.023895740933396e-25
200.0,4.299186391663746e-22,-8.353947010256914e-25
210.0,4.2186949549498697e-22,-7.792368992193206e-25
220.0,4.1433390118198815e-22,-7.317498486417372e-25
230.0,4.0723449852215223e-22,-6.912785976814765e-25
240.0,4.005083292283586e-22,-6.565417262947486e-25
250.0,3.9410366399625725e-22,-6.265349203929394e-25
260.0,3.8797763082049983e-22,-6.004623348706161e-25
270.0,3.8209441729884493e-22,-5.776869636015834e-25
280.0,3.7642389154846817e-22,-5.576942367085185e-25
290.0,3.7094053256467456e-22,-5.400649690665328e-25
300.0,3.656225921671375e-22,-5.244550157366109e-25
310.0,3.6045143224994234e-22,-5.105798018104583e-25
320.0,3.5541099613092835e-22,-4.982024383393285e-25
330.0,3.5048738348315577e-22,-4.871245064142933e-25
340.0,3.456685060026425e-22,-4.77178847349109e-25
350.0,3.409438065361736e-22,-4.682238759411124e-25
360.0,3.3630402848382023e-22,-4.601390606155179e-25
370.0,3.3174102532386324e-22,-4.528213052201766e-25
380.0,3.272476023794167e-22,-4.461820330765097e-25
390.0,3.2281738466233304e-22,-4.40144822073967e-25
400.0,3.1844470593793736e-22,-4.346434752456027e-25
410.0,3.14124515157421e-22,-4.296204377762168e-25
420.0,3.0985229718241302e-22,-4.250254912912463e-25
430.0,3.0562400533159606e-22,-4.208146714634222e-25
440.0,3.014360037531446e-22,-4.169493664576979e-25
450.0,2.972850180024421e-22,-4.133955625895117e-25
460.0,2.9316809250135435e-22,-4.1012321042223903e-25
470.0,2.890825537939973e-22,-4.0710568991261545e-25
480.0,2.8502597870310204e-22,-4.043193573874244e-25
490.0,2.8099616664624883e-22,-4.0174316034092484e-25
500.0,2.7699111549628354e-22,-3.993583087626174e-25
510.0,2.730090004709965e-22,-3.971479937873288e-25
520.0,2.6904815562053697e-22,-3.950971460117632e-25
530.0,2.651070575507612e-22,-3.931922272419951e-25
540.0,2.6118431107569706e-22,-3.914210505742578e-25
550.0,2.5727863653927607e-22,-3.89772624418459e-25
560.0,2.533888585873279e-22,-3.8823701697019704e-25
570.0,2.4951389619987213e-22,-3.8680523814373906e-25
580.0,2.456527538244531e-22,-3.8546913639346756e-25
590.0,2.4180451347200277e-22,-3.842213083775414e-25
600.0,2.3796832765690227e-22,-3.8305501967619534e-25
610.0,2.3414341307847887e-22,-3.8196413504857354e-25
620.0,2.303290449559308e-22,-3.809430569020614e-25
630.0,2.2652455194043764e-22,-3.7998667098156846e-25
640.0,2.2272931153629943e-22,-3.790902982569281e-25
650.0,2.189427459752991e-22,-3.7824965221767192e-25
660.0,2.15164318491946e-22,-3.7746080099445715e-25
670.0,2.1139352995540994e-22,-3.7672013356136338e-25
680.0,2.0762991582071873e-22,-3.760243296055451e-25
690.0,2.0387304336329903e-22,-3.753703326372235e-25
700.0,2.0012250916797426e-22,-3.7475532585205723e-25
710.0,1.963779368462579e-22,-3.741767105714631e-25
720.0,1.92638974956545e-22,-3.736320868825963e-25
730.0,1.8890529510860596e-22,-3.731192361253141e-25
740.0,1.8517659023403871e-22,-3.726361052277457e-25
750.0,1.8145257300405105e-22,-3.7218079254137426e-25
760.0,1.7773297438321123e-22,-3.7175153504225286e-25
770.0,1.74017542303206e-22,-3.7134669682339916e-25
780.0,1.7030604044674325e-22,-3.709647585080124e-25
790.0,1.6659824713304574e-22,-3.706043078136886e-25
800.0,1.6289395429046947e-22,-3.702640309704677e-25
810.0,1.591929665136364e-22,-3.6994270480023384e-25
820.0,1.554951001944648e-22,-3.69639189655085e-25
830.0,1.518001827205347e-22,-3.693524228913406e-25
840.0,1.4810805173663798e-22,-3.690814129350774e-25
850.0,1.4441855446183314e-22,-3.688252338888106e-25
860.0,1.4073154705886177e-22,-3.685830205655362e-25
870.0,1.3704689405052242e-22,-3.683539639951506e-25
880.0,1.3336446777895876e-22,-3.6813730725976966e-25
890.0,1.2968414790532703e-22,-3.6793234170550744e-25
900.0,1.260058209448486e-22,-3.677384034469443e-25
910.0,1.2232937983638814e-22,-3.6755487014506943e-25
920.0,1.1865472354194722e-22,-3.6738115812358187e-25
930.0,1.149817566739165e-22,-3.6721671960608737e-25
940.0,1.1131038914982548e-22,-3.6706104021026163e-25
950.0,1.0764053586971127e-22,-3.669136367136489e-25
960.0,1.039721164155525e-22,-3.6677405489435755e-25
970.0,1.0030505477182412e-22,-3.6664186754016987e-25
980.0,9.66392790647491e-23,-3.6651667267825243e-25
990.0,9.297472131825907e-23,-2.3004555587625837e-25
1000.0,9.203836794722393e-23,-9.363533710351367e-26
