Temperature (K),Partition Function
10.0,2.2886047852632446e+37
20.0,8.279436180769612e+35
30.0,7.245854722573445e+35
40.0,1.0891706851112248e+36
50.0,1.741855517092061e+36
60.0,2.704948719049924e+36
70.0,4.024377378572063e+36
80.0,5.751566085568165e+36
90.0,7.939749498964743e+36
100.0,1.064290360916722e+37
110.0,1.3915359337509934e+37
120.0,1.7811639571841958e+37
130.0,2.23863820509325e+37
140.0,2.7694299410742046e+37
150.0,3.379015688560398e+37
160.0,4.0728759051486977e+37
170.0,4.856494149849672e+37
180.0,5.735356533705205e+37
190.0,6.71495134099075e+37
200.0,7.800768757377778e+37
210.0,8.99830066765949e+37
220.0,1.0313040500245722e+38
230.0,1.1750483104074623e+38
240.0,1.3316124648633916e+38
250.0,1.5015462540892159e+38
260.0,1.6853995354906586e+38
270.0,1.8837222771149386e+38
280.0,2.0970645523441185e+38
290.0,2.325976535195331e+38
300.0,2.571008496113784e+38
310.0,2.832710798172246e+38
320.0,3.111633893610794e+38
330.0,3.408328320665104e+38
340.0,3.723344700642328e+38
350.0,4.057233735211653e+38
360.0,4.41054620388286e+38
370.0,4.783832961650748e+38
380.0,5.177644936787218e+38
390.0,5.5925331287654964e+38
400.0,6.029048606303439e+38
410.0,6.487742505514747e+38
420.0,6.969166028158306e+38
430.0,7.473870439977334e+38
440.0,8.002407069120861e+38
450.0,8.555327304641098e+38
460.0,9.133182595060924e+38
470.0,9.73652444700629e+38
480.0,1.0365904423899034e+39
490.0,1.1021874144705898e+39
500.0,1.1704985282740043e+39
510.0,1.2415789564511654e+39
520.0,1.3154838768624577e+39
530.0,1.392268472471618e+39
540.0,1.471987931243785e+39
550.0,1.5546974460473797e+39
560.0,1.6404522145595937e+39
570.0,1.729307439175289e+39
580.0,1.8213183269191325e+39
590.0,1.9165400893607795e+39
600.0,2.015027942532954e+39
610.0,2.1168371068522786e+39
620.0,2.2220228070427304e+39
630.0,2.3306402720615524e+39
640.0,2.4427447350275644e+39
650.0,2.5583914331516984e+39
660.0,2.6776356076697025e+39
670.0,2.8005325037768747e+39
680.0,2.9271373705647806e+39
690.0,3.0575054609598186e+39
700.0,3.191692031663592e+39
710.0,3.329752343094992e+39
720.0,3.4717416593338986e+39
730.0,3.61771524806649e+39
740.0,3.767728380532046e+39
750.0,3.9218363314711854e+39
760.0,4.080094379075507e+39
770.0,4.24255780493857e+39
780.0,4.409281894008141e+39
790.0,4.580321934539687e+39
800.0,4.755733218051046e+39
810.0,4.93557103927827e+39
820.0,5.1198906961325156e+39
830.0,5.3087474896580497e+39
840.0,5.502196723991236e+39
850.0,5.700293706320539e+39
860.0,5.903093746847466e+39
870.0,6.110652158748415e+39
880.0,6.323024258137447e+39
890.0,6.540265364029854e+39
900.0,6.76243079830664e+39
910.0,6.989575885679712e+39
920.0,7.221755953657901e+39
930.0,7.459026332513747e+39
940.0,7.701442355250951e+39
950.0,7.949059357572558e+39
960.0,8.201932677849849e+39
970.0,8.46011765709185e+39
980.0,8.723669638915494e+39
990.0,8.992643969516401e+39
1000.0,9.267095997640255e+39
