Temperature (K),Partition Function,
10,2.32625E+14,
20,38056239110,
30,8636341536,
40,8232395793,
50,10780243539,
60,15044530855,
70,20970925942,
80,28695684964,
90,38406117045,
100,50307714319,
110,64613776356,
120,81541441920,
130,1.0131E+11,
140,1.2414E+11,
150,1.50252E+11,
160,1.79869E+11,
170,2.13213E+11,
180,2.50506E+11,
190,2.91971E+11,
200,3.37831E+11,
210,3.88309E+11,
220,4.43629E+11,
230,5.04014E+11,
240,5.69687E+11,
250,6.40873E+11,
260,7.17794E+11,
270,8.00676E+11,
280,8.89741E+11,
290,9.85215E+11,
300,1.08732E+12,
310,1.19628E+12,
320,1.31232E+12,
330,1.43567E+12,
340,1.56655E+12,
350,1.70518E+12,
360,1.85179E+12,
370,2.0066E+12,
380,2.16984E+12,
390,2.34173E+12,
400,2.5225E+12,
410,2.71238E+12,
420,2.91158E+12,
430,3.12033E+12,
440,3.33886E+12,
450,3.56739E+12,
460,3.80614E+12,
470,4.05535E+12,
480,4.31524E+12,
490,4.58603E+12,
500,4.86795E+12,
510,5.16122E+12,
520,5.46607E+12,
530,5.78273E+12,
540,6.11141E+12,
550,6.45235E+12,
560,6.80577E+12,
570,7.1719E+12,
580,7.55096E+12,
590,7.94317E+12,
600,8.34877E+12,
610,8.76798E+12,
620,9.20103E+12,
630,9.64813E+12,
640,1.01095E+13,
650,1.05854E+13,
660,1.10761E+13,
670,1.15817E+13,
680,1.21025E+13,
690,1.26387E+13,
700,1.31905E+13,
710,1.37582E+13,
720,1.43421E+13,
730,1.49422E+13,
740,1.55589E+13,
750,1.61923E+13,
760,1.68428E+13,
770,1.75105E+13,
780,1.81956E+13,
790,1.88984E+13,
800,1.96191E+13,
810,2.0358E+13,
820,2.11151E+13,
830,2.18909E+13,
840,2.26855E+13,
850,2.34991E+13,
860,2.4332E+13,
870,2.51844E+13,
880,2.60565E+13,
890,2.69485E+13,
900,2.78607E+13,
910,2.87933E+13,
920,2.97465E+13,
930,3.07206E+13,
940,3.17157E+13,
950,3.27322E+13,
960,3.37702E+13,
970,3.48299E+13,
980,3.59116E+13,
990,3.70155E+13,
1000,3.81418E+13,
