Temperature (K),Internal Energy (J),Heat Capacity (J/K)
10.0,-2.7157648060021156e-21,9.338093355607822e-23
20.0,-1.7819554704413334e-21,1.0916363107228092e-22
30.0,-5.3249218455649725e-22,1.0952038651739634e-22
40.0,4.084522599065934e-22,8.180523414777527e-23
50.0,1.103612498399008e-21,6.34844412188433e-23
60.0,1.6781410842834593e-21,5.443875902156095e-23
70.0,2.192387678830227e-21,4.9786122982627176e-23
80.0,2.673863543936003e-21,4.7182329769888075e-23
90.0,3.1360342742279886e-21,4.5609278488299277e-23
100.0,3.5860491137019884e-21,4.459757861151106e-23
110.0,4.02798584645821e-21,4.391325627718414e-23
120.0,4.464314239245671e-21,4.343103952660588e-23
130.0,4.8966066369903274e-21,4.307961914382113e-23
140.0,5.325906622122094e-21,4.281624640318845e-23
150.0,5.7529315650540965e-21,4.261414568472362e-23
160.0,6.178189535816566e-21,4.245590747458218e-23
170.0,6.60204971454574e-21,4.232984255514678e-23
180.0,7.024786386919502e-21,4.2227880845951237e-23
190.0,7.446607331464765e-21,4.214431364417002e-23
200.0,7.867672659802902e-21,4.2075015235554346e-23
210.0,8.288107636175852e-21,4.2016946796572343e-23
220.0,8.708011595734349e-21,4.1967831841989665e-23
230.0,9.127464273015645e-21,4.192593888334e-23
240.0,9.546530373401149e-21,4.1889932798624756e-23
250.0,9.96526292898814e-21,4.185877124734037e-23
260.0,1.0383705798347956e-20,4.1831631228418107e-23
270.0,1.0801895553556502e-20,4.180785618921986e-23
280.0,1.1219862922132354e-20,4.1786917385527067e-23
290.0,1.1637633901267044e-20,4.176838528069869e-23
300.0,1.2055230627746327e-20,4.1751908117409733e-23
310.0,1.2472672063615238e-20,4.173719568369632e-23
320.0,1.2889974541420254e-20,4.172400688623885e-23
330.0,1.3307152201340015e-20,4.171214014565664e-23
340.0,1.3724217344333387e-20,4.1701425907206e-23
350.0,1.4141180719484135e-20,4.1691720751396835e-23
360.0,1.4558051759361323e-20,4.16829027266136e-23
370.0,1.4974838774016407e-20,4.1674867622907334e-23
380.0,1.539154911181947e-20,4.1667525976667756e-23
390.0,1.5808189293549763e-20,4.166080064751057e-23
400.0,1.622476512476968e-20,4.1654624845960774e-23
410.0,1.6641281790468978e-20,4.164894051815098e-23
420.0,1.70577439351327e-20,4.164369701626665e-23
430.0,1.747415573079431e-20,4.1638849999226964e-23
440.0,1.789052093511724e-20,4.1634360517717753e-23
450.0,1.8306842941148666e-20,4.163019425005956e-23
460.0,1.872312482011843e-20,4.162632086149046e-23
470.0,1.9139369358378475e-20,4.162271346366902e-23
480.0,1.9555579089391812e-20,4.161934815810113e-23
490.0,1.9971756321540498e-20,4.16162036478398e-23
500.0,2.0387903162348608e-20,4.1613260906861425e-23
510.0,2.0804021539677726e-20,4.1610502897366417e-23
520.0,2.1220113220295936e-20,4.1607914326712244e-23
530.0,2.163617982621197e-20,4.160548143862092e-23
540.0,2.2052222849068354e-20,4.160319183272964e-23
550.0,2.2468243662866564e-20,4.160103430808654e-23
560.0,2.2884243535230085e-20,4.159899872777092e-23
570.0,2.3300223637421982e-20,4.1597075900176176e-23
580.0,2.371618505323361e-20,4.159525747632138e-23
590.0,2.413212878694841e-20,4.1593535859361114e-23
600.0,2.454805577042083e-20,4.1591904124277835e-23
610.0,2.4963966869433967e-20,4.1590355949574077e-23
620.0,2.5379862889412312e-20,4.158888555509864e-23
630.0,2.579574458053594e-20,4.158748764771684e-23
640.0,2.621161264236665e-20,4.158615737320772e-23
650.0,2.6627467728000094e-20,4.158489027343481e-23
660.0,2.7043310447835345e-20,4.1583682249118526e-23
670.0,2.7459141372982464e-20,4.158252952521348e-23
680.0,2.7874961038339615e-20,4.158142862098603e-23
690.0,2.8290769945402185e-20,4.1580376323347076e-23
700.0,2.8706568564806557e-20,4.1579369662733964e-23
710.0,2.9122357338656864e-20,4.1578405891309903e-23
720.0,2.9538136682632755e-20,4.1577482463188695e-23
730.0,2.995390698792064e-20,4.1576597017363805e-23
740.0,3.036966862298003e-20,4.1575747362261156e-23
750.0,3.078542193516586e-20,4.1574931461199005e-23
760.0,3.120116725220401e-20,4.1574147419022867e-23
770.0,3.161690488354632e-20,4.157339347099561e-23
780.0,3.203263512162392e-20,4.1572667972581897e-23
790.0,3.2448358242997957e-20,4.157196938951854e-23
800.0,3.2864074509414294e-20,4.157129628878816e-23
810.0,3.327978416877372e-20,4.1570647331236306e-23
820.0,3.369548745603902e-20,4.1570021264069924e-23
830.0,3.411118459405512e-20,4.1569416914615543e-23
840.0,3.452687579433133e-20,4.156883318422884e-23
850.0,3.4942561257739695e-20,4.1568269041917677e-23
860.0,3.5358241175169684e-20,4.1567723521051504e-23
870.0,3.5773915728160725e-20,4.156719571381285e-23
880.0,3.618958508944594e-20,4.156668476633826e-23
890.0,3.660524942348749e-20,4.1566189875656686e-23
900.0,3.7020908886959075e-20,4.1565710286281484e-23
910.0,3.743656362921312e-20,4.1565245286749155e-23
920.0,3.785221379269406e-20,4.156479420641598e-23
930.0,3.826785951334144e-20,4.156435641246984e-23
940.0,3.8683500920943455e-20,4.156393130812883e-23
950.0,3.9099138139504016e-20,4.156351832970726e-23
960.0,3.95147712875376e-20,4.156311694443364e-23
970.0,3.993040047839269e-20,4.156272664888822e-23
980.0,4.0346025820515365e-20,4.1562346966288997e-23
990.0,4.076164741771847e-20,4.1561977445761325e-23
1000.0,4.117726536943059e-20,4.156179517121221e-23
