Temperature (K),Partition Function Z
10.0,5.379813742568008e-33
20.0,2.15364910404528e-35
30.0,4.311203489033625e-36
40.0,2.206954249933669e-36
50.0,1.572650471154842e-36
60.0,1.2918154060648466e-36
70.0,1.1389394829519659e-36
80.0,1.0444822377245117e-36
90.0,9.809682386545778e-37
100.0,9.356187020726064e-37
110.0,9.017631203067073e-37
120.0,8.75607330107641e-37
130.0,8.548453495320532e-37
140.0,8.379999180466691e-37
150.0,8.240833125492102e-37
160.0,8.124113169494365e-37
170.0,8.024956337141798e-37
180.0,7.939788286213454e-37
190.0,7.86593474573591e-37
200.0,7.801356415257037e-37
210.0,7.744471994026418e-37
220.0,7.694037058567463e-37
230.0,7.649059314129211e-37
240.0,7.608738119138504e-37
250.0,7.572420563087323e-37
260.0,7.539569055853436e-37
270.0,7.5097370646322425e-37
280.0,7.482550710712095e-37
290.0,7.45769464270849e-37
300.0,7.434901072730944e-37
310.0,7.413941180826624e-37
320.0,7.394618312901419e-37
330.0,7.376762551137057e-37
340.0,7.3602263450004954e-37
350.0,7.344880969267514e-37
360.0,7.330613632384408e-37
370.0,7.317325100281024e-37
380.0,7.304927731751753e-37
390.0,7.293343844741913e-37
400.0,7.282504350424599e-37
410.0,7.272347605325136e-37
420.0,7.262818442021313e-37
430.0,7.253867346895495e-37
440.0,7.245449759608657e-37
450.0,7.237525473825589e-37
460.0,7.230058122556811e-37
470.0,7.223014734529688e-37
480.0,7.216365350435033e-37
490.0,7.210082689850284e-37
500.0,7.204141861218233e-37
510.0,7.198520108540583e-37
520.0,7.1931965894891144e-37
530.0,7.188152180491718e-37
540.0,7.1833693050530886e-37
550.0,7.178831782150205e-37
560.0,7.174524692023573e-37
570.0,7.1704342570855245e-37
580.0,7.1665477360011705e-37
590.0,7.162853329277713e-37
600.0,7.159340094933536e-37
610.0,7.155997873017174e-37
620.0,7.152817217914631e-37
630.0,7.149789337526184e-37
640.0,7.146906038515532e-37
650.0,7.144159676937875e-37
660.0,7.141543113642362e-37
670.0,7.139049673920683e-37
680.0,7.136673110939136e-37
690.0,7.134407572548122e-37
700.0,7.132247571112014e-37
710.0,7.130187956044674e-37
720.0,7.1282238887728004e-37
730.0,7.126350819881343e-37
740.0,7.124564468223125e-37
750.0,7.122860801799338e-37
760.0,7.121236020238932e-37
770.0,7.119686538723681e-37
780.0,7.1182089732223055e-37
790.0,7.116800126911418e-37
800.0,7.1154569776740195e-37
810.0,7.114176666577553e-37
820.0,7.11295648724349e-37
830.0,7.1117938760294436e-37
840.0,7.110686402952559e-37
850.0,7.109631763290051e-37
860.0,7.108627769798967e-37
870.0,7.107672345502825e-37
880.0,7.106763516997783e-37
890.0,7.10589940823544e-37
900.0,7.105078234743328e-37
910.0,7.104298298247801e-37
920.0,7.103557981667145e-37
930.0,7.102855744445734e-37
940.0,7.102190118202542e-37
950.0,7.101559702669753e-37
960.0,7.100963161899279e-37
970.0,7.100399220716931e-37
980.0,7.099866661405676e-37
990.0,7.099364320601037e-37
1000.0,7.098891086383053e-37
